organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
OK3KBevBxuF,Agbeede Primary Health Center,p.ng.CIHP.1450,,166,159,7,18,37,35,35,35,2,,13,182
SOXiZPYNNxE,Agbungu Primary Health Center,p.ng.CIHP.1504,,,,,,15,15,15,15,0,,0,139
Vwphz4aVBkw,Agidi Primary Health Centre,,,131,127,4,25,9,9,9,9,0,,0,91
izJLP4ub40D,Agudu  Comprehensive Health Center,p.ng.CIHP.1469,,0,0,0,0,4,4,4,4,0,,0,103
nnocuY5Y1ve,Agwabi Primary Health Center,p.ng.CIHP.1335,,51,50,1,14,33,33,33,33,1,,0,989
kYQmzSgzCJX,Ajio Local Government Health Center,p.ng.CIHP.1294,,,,,,17,17,17,17,2,,0,50
BIf4NpUc9tv,Akaa Primary Health Center,p.ng.CIHP.1381,,,,,,26,26,26,26,0,,0,168
S0KHKAONgri,Akase Buruku Medical Centre Gungul,,,1,1,0,1,9,9,9,9,1,,0,141
XS7oHkodgdY,Akerior Comprehensive Health Center,p.ng.CIHP.1725,,74,71,3,16,67,67,67,67,4,,1,522
IJtXcAlf0Gw,Ako Primary Health Center,,,0,0,0,0,33,33,33,33,6,,0,75
iBoiNFcGWNu,Akoodo Primary Health Centre,,,,,,,9,9,9,9,0,,0,95
nEGhloNqExo,Akpa Primary Health Centre,,,,,,,25,25,25,25,2,,0,180
hd4uvUNJmVb,Akpagher Primary Health Center,p.ng.IHVN.1404,,,,,,0,0,0,0,0,,0,0
PcOkY82BR8s,Akpegede Primary Health Center,p.ng.CIHP.1644,,,,,,8,8,8,8,0,,0,62
xf0d6Ievr0Y,Akputu  Primary Health Center,p.ng.CIHP.1470,,200,185,15,20,32,27,27,27,5,,0,209
cePHHjZCGUB,Akumator Health Centre,,,,,,,31,31,31,31,9,,0,275
xrktdSSHsk8,Alabar Comprehensive Health Center,p.ng.CIHP.1687,,,,,,49,49,49,49,0,,0,220
PUgQr3FrIgs,Alfa Clinic,p.ng.CCFN.1632,,,,,,124,124,124,124,1,,0,426
OPnJnEYeq1I,Aliade General Hospital,p.ng.CIHP.1408,,1540,1463,77,44,36,35,35,35,12,,0,237
ShOkkjO7q4d,Amafor Primary Health Center,p.ng.IHVN.1442,,,,,,25,25,25,25,1,,1,28
ZhI01U6OW27,Amaladu Primary Health Center,p.ng.IHVN.1377,,,,,,0,0,0,0,0,,0,0
HSyYeWik1mR,Amua Primary Health Center,p.ng.CIHP.1451,,2,2,0,2,24,24,24,24,2,,0,66
GVwSWUCUWPn,Anonghul Primary Health Center,p.ng.CIHP.1340,,34,34,0,34,19,19,19,19,3,,0,2885
W0EYoKS92VC,Anongu Primary Health Center,p.ng.CIHP.1741,,,,,,17,17,17,17,2,,0,37
nMO8qFMjftW,Anvambe Primary Health Center,p.ng.CIHP.1339,,149,140,9,44,18,18,18,18,4,,5,214
pwlvjbtM5oM,Anyiin Primary Health Center,p.ng.CIHP.1501,,557,549,8,115,74,74,74,74,11,,7,1267
NlSxDvmv8RG,Anyiranya Comprehensive Health Center,p.ng.CIHP.1446,,0,0,0,0,24,24,24,24,0,,0,31
x0lTOYyB0Xq,Anzembe Clinic,,,151,146,5,14,19,19,19,19,2,,0,141
YLapZuUgSyj,Aondana Health Clinic,p.ng.CIHP.1420,,92,91,1,10,44,44,44,44,1,,0,546
k8SOoKCsniT,Apav Primary Health Center,p.ng.CIHP.1332,,,,,,23,23,23,23,0,,0,312
AptnTvyenuo,Asambe Primary Health Center,p.ng.CIHP.1688,,,,,,17,10,10,10,0,,0,137
fZBILx9jrtX,Asanyi Clinic,,,,,,,0,0,0,0,0,,0,0
H5sqi75vXga,Ashido Clinic and Maternity,p.ng.CIHP.1459,,0,0,0,0,5,5,5,5,0,,0,21
rLuGqHLz5O0,Asiasa Primary Health Center,p.ng.CIHP.1536,,,,,,106,106,106,106,5,,3,385
kexwjLUlsZy,Aso Comprehensive Health Center,p.ng.CIHP.1680,,65,62,3,5,29,29,29,29,6,,0,1303
InmLlQBslD6,Asukunya Primary Health Center,p.ng.CIHP.1677,,98,92,6,14,31,31,31,31,6,,0,690
qHFn6eKPzZR,Atekombo Comprehensive Health Center,p.ng.CIHP.1719,,168,151,17,14,63,63,63,63,0,,1,684
yoiyriXtW1G,Aterayange Comprehensive Health Center,p.ng.CIHP.1694,,,,,,61,61,61,61,5,,0,228
UPvsRuG3lnz,Atighir Local Government Health Center,p.ng.CIHP.1537,,17,15,2,17,36,36,36,36,1,,4,1418
szcn3Q559Dz,Atuna Clinic and Maternity,p.ng.IHVN.1382,,721,696,25,36,34,34,34,34,4,,0,363
boPVZvERiSO,Avande Primary Health Center,p.ng.CIHP.1380,,,,,,22,22,22,22,0,,0,94
QDRtn4ErqLP,Awenebo Primary Health Center,p.ng.CIHP.1538,,,,,,11,11,11,11,1,,0,305
Oexe9zs1Ehb,Ayati Primary Health Center,p.ng.CIHP.1684,,,,,,48,48,48,48,1,,0,277
zBp4fj9LC7v,Ayilamo Primary Health Center,p.ng.IHVN.1506,,,,,,128,128,128,128,0,,0,492
WD93HklJ2QC,Azungur Primary Health Centre,,,,,,,18,18,18,18,0,,0,57
UnkA6GX7nnG,Baki Clinic,,,0,0,0,0,3,3,3,3,0,,0,130
I2YSBeACOiz,Baki Clinic,p.ng.CIHP.1369,,,,,,0,0,0,0,0,,0,130
YSxrwZzyYqu,Begha Comprehensive Health Center,p.ng.CIHP.1480,,,,,,41,41,41,41,0,,0,73
mHwzBUYquF5,Bem Clinic,,,,,,,8,8,8,8,2,,0,81
AgRjHcsC4wf,Benue State University Teaching Hospital,p.ng.IHVN.1540,,620,602,18,36,115,115,115,115,6,,24,1288
rEQ6l5PTFp8,Bethesda Hospital - Ikachi,p.ng.IHVN.1616,,,,,,34,34,34,34,0,,3,104
EDdYwB26l0W,Bethsaida Clinic,,,0,0,0,0,25,25,25,25,0,,0,203
xbHk6A9M5Ah,Bishop Murray Medical Center,p.ng.CCFN.1533,,4678,4489,189,93,260,260,260,260,35,,48,1795
A0oG89zfO3P,Bonta Family Support Program Clinic,,,104,98,6,7,8,8,8,8,0,,0,69
SLUh7AIPl3P,Central Hospital Anyiin,,,,,,,56,56,56,56,1,,0,248
PAEkoUsTqwP,Centre Clinic Korinya,,,0,0,0,0,8,8,8,8,0,,0,71
xHCRTxh1UoC,Chito Local Government Health Center,p.ng.CIHP.1693,,,,,,83,83,83,83,2,,0,203
EmfiENvlCGq,Chris Clinic,,,40,39,1,12,7,7,7,7,0,,2,73
HznzDeNotIB,City Clinic,,,0,0,0,0,17,17,17,17,0,,0,227
P82OYKREDEj,City Hospital,p.ng.IHVN.1525,,,,,,17,17,17,17,3,,4,180
RaK8oHAcaJx,Dio Primary Health Center,p.ng.CIHP.1462,,61,61,0,4,14,14,14,14,0,,0,89
CITzQ1NJK3r,Div Primary Health Center,p.ng.CIHP.1483,,,,,,13,13,13,13,0,,0,146
CbpO0v7XB53,Doodoo Clinic,,,,,,,102,102,102,102,0,,0,477
NhrnFnjxx2Z,Doose Clinic,,,,,,,0,0,0,0,0,,0,0
Sg1lTBErQMf,Dooshima Primary Health Centre,,,379,365,14,78,40,40,40,40,6,,0,2080
N44jVMYmfa2,Dzambe Clinic and Maternity,,,0,0,0,0,3,3,3,3,0,,0,46
lnaA8R6IVD1,Ekpong Primary Health Center,p.ng.CIHP.1566,,,,,,0,0,0,0,0,,0,61
rkmUcjVWIEG,El Shaddai Clinic - Achocho,,,,,,,8,8,8,8,0,,2,234
ugwMUWu3le4,European Economic Community Health Clinic,p.ng.CIHP.1423,,172,165,7,21,47,47,47,47,3,,6,3530
s3bJiXQU0sG,Eyokpa Primary Health Center,p.ng.CIHP.1642,,,,,,12,12,12,12,0,,0,101
Mb6TF6q1qQF,Faith Health Clinic - Atoga,,,0,0,0,0,0,0,0,0,0,,0,162
r2lBjhZUg8j,Farmter Clinic Abeda,,,,,,,31,31,31,31,0,,0,113
EA0gMmZjNn6,Federal Medical Center - Makurdi,p.ng.IHVN.1532,,12282,12083,199,128,683,683,683,683,82,,70,2507
RdEEZwjHezM,Fidi Primary Health Center,p.ng.CIHP.1516,,,,,,13,13,13,13,1,,0,69
RCNdVagYyNw,First Clinic and Maternity - Lobbi,,,,,,,36,36,36,36,3,,0,201
KWB8RTTIeya,Fr. Mathias Clinic,p.ng.CCFN.1424,,711,664,47,50,212,212,212,212,11,,29,1430
G9RIOzlKB5n,Gabriel Suswam Cottage Hospital - Tse Ugbena,p.ng.CIHP.1492,,,,,,109,109,109,109,5,,0,316
GtKJyoYuiDX,Gbabgongon Primary Health Center,p.ng.CIHP.1762,,,,,,46,46,46,46,3,,0,531
CyG4e1PNY2V,Gbaja  Primary Health Center,p.ng.CIHP.1336,,,,,,77,77,77,77,12,,0,380
btDbYq12rAW,Gbem Primary Health Center,p.ng.CIHP.1743,,,,,,74,74,74,74,6,,0,138
NKBX6MV18q7,Gboko East Comprehensive Health Center,p.ng.CIHP.1375,,1993,1932,61,164,502,502,502,502,55,,83,1013
QW4jZGUGs0K,Gboko South Primary Health Center,p.ng.CIHP.1348,,,,,,69,69,69,69,6,,0,131
UWfo9Vcmg6t,Gbor Comprehensive Health Center,p.ng.IHVN.1434,,456,438,18,48,94,94,94,94,14,,0,716
emodKJruXyL,Gboragayo Primary Health Centre,,,193,186,7,54,68,68,68,68,6,,0,1900
jUTYBRwnEHz,Gemanen Health Clinic Ageraga,,,0,0,0,0,0,0,0,0,0,,0,6
hWsBYXZwHiP,General Hospital Buruku,p.ng.CIHP.1346,,1800,1716,84,62,62,62,62,62,8,,0,1030
A6vVFRBdTaM,General Hospital Naka,p.ng.CIHP.1425,,1509,1477,32,54,69,69,69,69,12,,0,1431
S5mDbNgcRku,Ginde Primary Health Center,p.ng.CIHP.1399,,,,,,19,19,19,19,0,,0,69
LAyyrDvKqGe,Gonduzua Primary Health Center,p.ng.IHVN.1508,,,,,,35,35,35,35,4,,9,862
d4xIrfed7jC,Gube Primary Health Center,p.ng.CIHP.1474,,,,,,33,33,33,33,2,,0,231
QcktjNt6R6g,Guleya Health Clinic,,,0,0,0,0,32,32,32,32,0,,0,35
uPRX8ftEmL5,Gwarche Primary Health Centre,p.ng.CIHP.1682,,71,71,0,9,16,16,16,16,2,,2,1225
CZugrC0pZ3a,Hegha Comprehensive Health Center,p.ng.IHVN.1718,,125,116,9,6,25,25,25,25,6,,1,304
s9bl6apI0dc,Hemko Hospital,p.ng.CIHP.1530,,,,,,14,14,14,14,0,,0,474
JTD3QnVPI8l,Hitom Orbiam Comprehensive Health Center,p.ng.IHVN.1728,,4,4,0,4,15,15,15,15,4,,2,175
ecDDJ8UV2tN,Holy Child Clinic and Maternity,p.ng.CIHP.1493,,,,,,132,132,132,132,1,,0,293
ElG4xY5VKhM,Holy Ghost Clinic Abeda,,,,,,,0,0,0,0,0,,0,0
jkTZCfjUJSI,Holy Name Clinic - Ugbokolo,p.ng.CCFN.1636,,,,,,36,36,36,36,0,,2,258
xSgOL9OVNfU,Homa Hospital,p.ng.CIHP.1529,,,,,,13,13,13,13,2,,0,86
L5uBSWixRWb,Hope Clinic Naka,,,,,,,9,9,9,9,0,,0,157
Kx8nR3Z0zoJ,Hope Hospital - Gungul,p.ng.IHVN.1402,,97,97,0,2,27,27,27,27,0,,0,150
PSewXHXf7oY,Hossana Hospital - Aliade,p.ng.IHVN.1409,,,,,,0,0,0,0,0,,0,0
PWTMBcAdVmf,Huma Primary Health Center,p.ng.CIHP.1464,,0,0,0,0,15,15,15,15,0,,0,175
VKDCUTo3uig,Igbor Primary Health Center,p.ng.CIHP.1405,,,,,,0,0,0,0,0,,0,0
bsw3naXOOX1,Igboughol Local Government Health Clinic,,,501,491,10,68,40,40,40,40,22,,5,938
oR3iWfmLDLd,Igbughul Primary Health Center,,,267,245,22,9,20,18,18,18,3,,0,337
oKaMsSZ4pzp,Ihugh Primary Health Center,p.ng.CIHP.1733,,,,,,51,51,51,51,2,,0,122
rQOXT4Cy2Pj,Ikpaukur Local Government Health Center,p.ng.CIHP.1433,,,,,,33,33,33,33,0,,0,167
PNknx39XQ3D,Ikpeakor Comprehensive Health Center,p.ng.CIHP.1453,,0,0,0,0,37,35,35,35,2,,0,235
b2iKj21StWT,Ikyaave Primary Health Center,p.ng.CIHP.1458,,1,1,0,1,11,11,11,11,1,,0,134
p744o3LL0jI,Ikyo Primary Health Center,,,174,168,6,28,23,23,23,23,1,,0,1508
lHAkzMumFD8,Ikyogen Primary Health Center,p.ng.CIHP.1472,,,,,,24,24,24,24,0,,0,0
wzrz2POvwJO,Ikyor Family Support Programme Clinic,p.ng.CIHP.1392,,,,,,12,12,12,12,0,,0,45
MqP8hXfcXJy,Imande Adega Primary Health Centre,,,,,,,31,31,31,31,0,,0,223
o98TdVrqKre,Imandedem Comprehensive Health Center,p.ng.CIHP.1393,,,,,,31,31,31,31,0,,0,503
baLNc1OTsyV,Immaculate Hospital,p.ng.CIHP.1528,,,,,,0,0,0,0,0,,0,92
vdABjhoRp53,Iorna Clinic,p.ng.CIHP.1702,,,,,,88,88,88,88,9,,3,405
zBwxOyfTqwm,Iorza Primary Health Center,p.ng.CIHP.1509,,528,515,13,80,37,37,37,37,10,,7,1491
LMbwSwAgEE7,Isundugh Model Primary Health Center,p.ng.CIHP.1376,,,,,,18,18,18,18,0,,0,140
oTcXqQjjNzT,Itakpa Primary Health Care Center Clinic,p.ng.IHVN.1556,,,,,,0,0,0,0,0,,0,0
nn4VvQS8SqP,Jimba Primary Health Center,p.ng.CIHP.1419,,77,72,5,9,18,18,18,18,1,,0,2938
R76nShpbpxl,Jingir Primary Health Center,p.ng.CIHP.1331,,16,16,0,16,30,30,30,30,2,,0,1414
ADRcchaSF89,Jirgba Primary Health Center,p.ng.CIHP.1449,,288,266,22,14,19,19,19,19,1,,0,193
VDDocMtkbIv,Jootal Primary Health Center,,,,,,,5,5,5,5,1,,0,32
SSj1HfTYnTs,Jor Maternal and Child Health Clinic,p.ng.CIHP.1551,,97,97,0,23,29,29,29,29,6,,1,2728
Ki7oL3P60Gk,Jordan Clinic and Maternity,p.ng.IHVN.1699,,387,367,20,0,,,,,,,,
LMZRrPsIaQH,Jota Clinic,,,,,,,11,11,11,11,1,,0,31
BGygT2oyOXk,Jumota Health Clinic Tsuwe,,,0,0,0,0,4,4,4,4,0,,0,91
YrOi3vit8KV,Jun Primary Health Centre,,,,,,,15,15,15,15,0,,0,205
Ikw1ubU63ji,Kafa Clinic,p.ng.CIHP.1698,,,,,,20,20,20,20,2,,0,88
sKg8sSkZoMP,Karakuso Clinic,,,,,,,0,0,0,0,0,,0,0
oOwDebIrySs,Kartyo Comprehensive Health Center,p.ng.IHVN.1721,,106,100,6,9,26,26,26,26,2,,7,195
n0FjNk2ued1,Kendem Health Clinic,,,,,,,0,0,0,0,0,,0,0
r0E0bUsIjrC,King of Kings Clinic and Maternity,p.ng.IHVN.1701,,515,495,20,0,0,0,0,0,0,,0,
i7iD5DwvlZM,Kishi Primary Health Center,p.ng.IHVN.1729,,,,,,0,0,0,0,0,,0,0
zOFJx0iZI6j,Korinya Primary Health Center,p.ng.CIHP.1447,,757,708,49,63,88,79,79,79,9,,10,455
Wk7369Mhsof,Koti Comprehensive Health Center,p.ng.CIHP.1478,,,,,,64,64,64,64,2,,0,911
G5eD8nBMRPO,Kpe-Ambila Primary Health Centre,,,130,124,6,24,7,7,7,7,2,,0,985
bIMhLHumVOb,Kur Primary Health Center,p.ng.CIHP.1337,,9,9,0,9,32,32,32,32,4,,0,502
O37JHTv6j6B,Kurungu Local Government Health Center,,,,,,,0,0,0,0,0,,0,34
n3leeELsmMM,Kusa Erem Agbeede Health Clinic,,,1,1,0,1,22,22,22,22,2,,0,112
oN3LGtxIZlk,Kwashon Primary Health Centre,,,42,41,1,6,39,39,39,39,0,,0,2358
ZHUzBV58GYR,Kyado Primary Health Center,p.ng.IHVN.1690,,302,289,13,0,,,,,,,,
GPLUhQcAk09,Ladi Ugee Health Clinic,,,0,0,0,0,28,28,28,28,0,,3,165
YMwV767vaxO,Leke Clinic and Maternity,p.ng.CIHP.1465,,35,34,1,4,51,51,51,51,2,,0,175
NFIT0fugpMz,Lim Health Clinic,,,2,2,0,2,34,34,34,34,3,,0,136
RCVEsesYe2Z,Live Clinic,,,,,,,14,14,14,14,0,,0,362
fZtEYsSUToC,Luter Health Clinic,,,38,38,0,3,20,20,20,20,0,,0,105
dWMSkFIYteW,Makurdi Family Support Program Clinic,p.ng.CIHP.1517,,749,719,30,21,385,385,385,385,31,,55,496
cb0V8ceIp0o,Manor Health Center,p.ng.CIHP.1717,,0,0,0,0,24,24,24,24,1,,0,270
lgXwl4gfzgN,Manyam Primary Health Center,p.ng.CIHP.1484,,,,,,54,54,54,54,1,,0,139
mmlEZKqZ9Ag,Maranatha Clinic Ugba,,,,,,,20,20,20,20,0,,0,66
IxpCotD8DPx,Maranatha Hospital - Otukpo,,,,,,,17,17,17,17,0,,0,129
vGJhQeNenm1,Maternal and Child Health Centre Lessel,,,3,3,0,3,33,33,33,33,3,,1,117
UdO3AJxt6D7,Mayange Primary Health Care,p.ng.IHVN.1730,,152,142,10,18,49,49,49,49,1,,11,578
zL6xGqY3SL7,Mazda Clinic,,,,,,,0,0,0,0,0,,0,0
imhNpRaqgMO,Mbaakanku Primary Health Center,p.ng.CIHP.1373,,,,,,19,19,19,19,1,,0,88
Guf2jRM5SyK,Mbaakem Health Centre,,,36,36,0,9,11,11,11,11,2,,0,2456
gKQPwJLWiih,Mbaalom Primary Health Centre,,,,,,,0,0,0,0,0,,0,203
xU6kWh9unZD,Mbaasham Health Center,,,0,0,0,0,27,27,27,27,1,,0,73
BNicZLMov3O,Mbagar Primary Health Center,p.ng.CIHP.1358,,,,,,13,13,13,13,0,,0,67
Foo92FCaY1b,Mbagbaa Health Center,,,2,2,0,2,43,43,43,43,2,,0,71
rWLUwyvE2KL,Mbagen Community Health Service - Ashibi,,,0,0,0,0,20,20,20,20,3,,0,97
E1cCmIs4B6J,Mbagen Community Health Service - Nyamatsor,,,0,0,0,0,0,0,0,0,0,,0,0
JVUE6hcwdYf,Mbagen Community Hospital - Abwa,p.ng.IHVN.1334,,1808,1759,49,38,24,24,24,24,8,,4,1497
NnQBS3G7K8x,Mbahan Health Clinic Ankugh,,,0,0,0,0,25,25,25,25,0,,0,146
EJQh7G0WPzD,Mbaier Health Centre,,,44,43,1,11,57,57,57,57,0,,0,1346
udCzBxj1fs7,Mbaikpande Health Clinic,,,0,0,0,0,7,7,7,7,0,,0,60
mDLjtcbbe1r,Mbaiywar Health Centre,,,,,,,16,16,16,16,0,,0,134
qRBYxXT5oNy,Mbakighir Primary Health Centre,,,,,,,19,19,19,19,1,,0,219
rkFS5ZsTWsm,Mbalaha Clinic,,,,,,,0,0,0,0,0,,0,0
CtqZO3PKNim,Mbalosu Primary Health Centre,,,45,44,1,14,21,21,21,21,2,,0,2690
LVwYC7JU75B,Mbashija Primary Health Centre,,,45,43,2,11,14,14,14,14,2,,0,58
mqXUgQzdrim,Mbaswa Primary Health Center,p.ng.CIHP.1353,,,,,,38,38,38,38,0,,0,83
TOL2FI5yOWq,Mchia Local Government Health Center,,,136,133,3,23,8,8,8,8,0,,6,437
GtLsyPEOY3j,Meeeme Primary Health Centre,,,,,,,10,10,10,10,2,,0,155
XP2njsDoK3u,Melabu Comprehensive Health Center,p.ng.CIHP.1705,,,,,,13,13,13,13,1,,0,63
UKpHt1NMIzG,Mercy Hospital,p.ng.IHVN.1603,,,,,,0,0,0,0,0,,0,0
GDWQ1gtrq7o,Mgbayiman Clinic,,,0,0,0,0,6,6,6,6,0,,0,159
Hb4aAEXMUMh,Mhen Health Clinic Jov-Mbavaa,,,0,0,0,0,15,15,15,15,0,,0,122
t8yzGeF3QOZ,Mimi Clinic and Maternity,p.ng.IHVN.1456,,272,253,19,17,39,39,39,39,4,,10,322
uE7DozqVDx3,Mimidoo Clinic and Maternity - Gungul,,,231,225,6,38,165,165,165,165,8,,12,879
gmZiQa8rGP8,Mkaa Health Clinic and Maternity,,,0,0,0,0,24,24,24,24,0,,0,163
LOykIXc8jdW,Msonter Clinic and Maternity,p.ng.CIHP.1494,,,,,,77,77,77,77,3,,1,428
KCeTZcNxHny,Myom Hospital - Gboko,p.ng.IHVN.1371,,808,779,29,37,75,75,75,75,11,,0,711
yRpzCa8G6SZ,Nahuta Hospital,p.ng.CIHP.1437,,,,,,10,10,10,10,3,,0,227
Nfc7dRyjli0,Nakar Gwer West Comprehensive Health Center,p.ng.CIHP.1421,,40,39,1,12,17,17,17,17,1,,0,62
ZHg3OR5tcsX,Nedoo Clinic,,,0,0,0,0,0,0,0,0,0,,0,91
vse3mtJJEmf,New Concept Hospital,p.ng.CIHP.1324,,,,,,7,7,7,7,0,,0,136
voNNZ57SXoP,Nguher Clinic,p.ng.IHVN.1436,,,,,,74,74,74,74,18,,6,534
RkCEl2a26MS,Nongu u Kristu ke Sudan hen Tiv (NKST) - Anyogo Comprehensive Health Center - Gboko East,p.ng.CIHP.1367,,,,,,54,54,54,54,3,,0,127
iXF6l0KcQDv,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Genyi Yandev,p.ng.CCFN.1389,,,,,,41,41,41,41,2,,2,403
KG41U70wckT,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Iber,,,,,,,102,102,102,102,2,,0,301
tmdPeVe2bj9,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Ishua,p.ng.CCFN.1466,,250,236,14,13,21,21,21,21,10,,6,784
w5XcPdO0vLh,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Uatsor,p.ng.IHVN.1341,,,,,,2,2,2,2,0,,0,34
aUsI0GxqwfK,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic - Wannune,p.ng.CIHP.1678,,345,336,9,52,100,100,100,100,6,,0,263
yk6RVaDElKT,Nongu u Kristu ke Sudan hen Tiv (NKST) Clinic -Aku,,,147,142,5,8,34,34,34,34,7,,10,306
gbdLx16PC7F,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Abwa,p.ng.CCFN.1748,,,,,,90,90,90,90,4,,3,593
Rf1yYN2IDWc,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Garagbohol,p.ng.CCFN.1343,,756,734,22,144,293,293,293,293,4,,4,995
iLE60Uz1V74,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Harga,p.ng.IHVN.1438,,,,,,27,27,27,27,0,,4,167
t5kQRj3Oqrp,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Isherev,p.ng.CCFN.1397,,,,,,21,21,21,21,,,0,99
cTOASc9flIi,Nongu u Kristu ke Sudan hen Tiv (NKST) Comprehensive Health Center - Shangbum,p.ng.CCFN.1749,,,,,,72,72,72,72,4,,3,337
G82knieoyf2,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Asukunya,,,,,,,183,183,183,183,21,,3,428
KNwYLS8wBMQ,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Gbe,,,389,367,22,86,49,49,49,49,12,,8,2981
iCI3qip67kQ,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Ifo Mbakuwa,,,,,,,175,175,175,175,4,,0,433
CiJA7pwWM1M,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Korinjo,,,,,,,22,22,22,22,0,,0,316
pVuatRaVnJu,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Lessel,p.ng.CCFN.1727,,,,,,127,127,127,127,2,,6,995
kEUmib8n7Nk,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Taangahaar,,,,,,,33,33,33,33,3,,6,259
UbFbAGiSBNv,Nongu u Kristu ke Sudan hen Tiv (NKST) Health Center - Uchi,,,182,177,5,35,184,184,184,184,5,,6,1218
VqKuYd50P6Z,Nongu u Kristu ke Sudan hen Tiv (NKST) Hospital - Anyiin,p.ng.CCFN.1511,,3303,3220,83,68,320,320,320,320,31,,27,759
